Owner, QSP, AV, Name, Fuel, CPU, Br., Crew, Eng, Stew, Hold, Pass, Low, MCr, H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12, H13, H14, H15, H16
Im,C-DB33,36,Enforcer,130,3,2,6,5,0,5,4,10,135.1,T3 M M M,T3 M M M,T3 L L L,T3 L L L,,,,,,,,,,,,,
As,C-FL53,26,Aruiwo,189,3,1,12,9,0,10,0,0,335.3,T3 S S S,B1 A,B3 M M M,B3 M M M,T3 L L L,T3 L L L,,,,,,,,,,,
Sw,C-FS22,55,Tulgan,126,2,0.5,10,5,0,8,1,0,172.4,B1 A,B1 V,B1 C,T3 D D D,T3 L L L,T3 S S S,,,,,,,,,,,
ImJG,C-HU33,24,Alkahest,288,5,2,7,11,0,80,0,0,310.4,T3 Empty,T3 Empty,T3 Empty,T3 Empty,T3 Empty,T3 Empty,T3 Empty,T3 Empty,,,,,,,,,
Sw,C-VB22,80,Jarl,440,2bis,2,11,18,0,84,0,0,470.3,B3 C C C,B1 V,B1 N,B1 M,B3 M M M,B3 M M M,B3 M M M,B3 M M M,T3 S S S,T3 S S S,T3 M M M,T3 M M M,T3 M M M,T3 M M M,T3 L L L,T3 L L L,
Zh,C-VS42,140,Vlezhdatl,480,M5,2,12,22,0,90,1,0,1061,1 A,B1 N,B1 N,B1 C,B1 L,B1 L,B1 L,B1 L,B1 L,B1 L,B1 L,B1 L,B1 L,B1 L,B1 L,B1 L,
Zh,C-VS44,84,Council Cruiser,1146,,2,13,40,0,53,1,0,956.4,B3 M M M,B3 M M M,B3 A A A,B3 A A A,B1 A,B1 M,B1 Meson Screen,B1 Nuclear Damper,,,,,,,,,
ImJG,CF-KU44,16,Border Prowler,342,4,2,14,13,0,200,0,0,271.2,B3 A A A,T3 M M M,T3 M M M,T3 M M M,T3 S S S,T3 S S S,T3 S S S,T3 L L L,T3 L L L,T3 L L L,1 ,1 ,1 ,1 ,1 Meson Screen,1 Nuclear Damper,
ImBT,CF-Z2S111,120,Stanislaw,801,9,2,42,35,0,400,0,0,5130.8,B1 A,B1 C,B1 G,B1 N,B1 X,B1 D,B1 Stasis,B1 F,B1 K,B1 L,B1 S,B1 Jump Damper,B1 U,B1 Disruptor,1 ,1 ,
Im,CP-HU33,12,Broadsword,294,5,2,11,11,2,50,17,0,298.6,B3 L L L,B3 L L L,B3 L L L,B3 L L L,B3 M M M,B3 M M M,B3 M M M,B3 M M M,,,,,,,,,
Rr,D-AL80,68,Hoshisame,17,5,1,8,1,0,0,0,0,124.9,B3 A A A,1 Black Globe,,,,,,,,,,,,,,,
Im,D-DA00,56,,0,4,2,8,2,0,20,0,0,205,1 ,1 ,B1 M,T3 S S S,T3 L L L,T3 L L L,1 Nuclear Damper,1 Meson Screen,,,,,,,,,
Im,DS-KA70,75,1000-ton-SDB,63,4,2,7,5,0,20,0,0,542.3,1 G,T3 L L L,T3 L L L,T3 L L L,T3 L L L,T3 S S S,T3 S S S,T3 S S S,T3 S S S,B1 V,1 ,1 ,,,,,
Dr,E-CA62,64,Tweyo,81,4,2,10,2,0,20,2,0,233.2,B1 A,T3 L L L,B1 M,1 Black Globe,,,,,,,,,,,,,
Im,E-DA43,24,Lurushaar Kilaalum,152,3,2,7,6,0,5,0,0,182.4,T1 Empty,T1 Empty,T1 Empty,T1 Empty,1 ,1 Meson Screen,1 Nuclear Damper,,,,,,,,,,
NaHu,E-HA86,102,Warlock,70,,2,10,11,0,30,1,0,1293.6,B1 V,B3 A A A,B3 A A A,B3 M M M,B3 S S S,B3 S S S,T5 L,T5 L,T5 L,T5 L,T5 L,T5 L,1 ,B3 Nuclear Damper,B3 Meson Screen,,
As,E-HU44,26,Ekawsykua,348,5,1,8,13,0,27,0,0,379.2,T3 C C C,T3 S S S,T3 S S S,B1 L,B1 L,B1 M,B1 M,B1 M,,,,,,,,,
Kursae,E-LA100,114,Ka Remish,365,5,4,14,13,0,20,0,0,519.7,B3 C C C,B3 D D D,B3 U U U,B3 Disruptor,B3 A A A,B3 A A A,B3 Proton Screen,B3 Grav Scrambler,B3 Meson Screen,B3 Nuclear Damper,B1 White Globe,,,,,,
As,EB-BU72,36,Stayow,47,5,2,6,2,0,3,1,0,122.1,T3 M M M,B3 A A A,,,,,,,,,,,,,,,
ImJG,EB-DL42,56,Spearhead,176,5,2,8,7,0,35,0,0,202.4,T3 M M M,T3 K K K,T3 S S S,T3 L L L,1 ,,,,,,,,,,,,
Zh,EB-DS64,26,Zhdits,172,,2,6,7,0,0,1,0,257.1,T3 L L L,T3 L L L,T3 L L L,T3 L L L,,,,,,,,,,,,,
Im,EB-EA53,26,Lurushaar Kilaalum,157,3,2,13,7,0,20,0,0,243.3,B1 A,B1 M,B3 L L L,B3 L L L,T5 S,1 Meson Screen,1 Nuclear Damper,,,,,,,,,,
Rr,EB-ES53,68,BX7 Corvette,139,3,1,6,5,0,20,0,0,372.5,T3 L L L,B1 M,B1 M,1 ,1 ,T5 C,T3 D D D,1 Black Globe,1 Nuclear Damper,1 Meson Screen,,,,,,,
Zh,EB-FS41,28,Sesavetl,237,5,2,10,9,0,24,1,0,321.5,B1 M,B1 S,B1 D,B1 L,B3 A A A,B3 A A A,,,,,,,,,,,
RoR,EB-GS91,64,Diikraa,179,6,2,9,9,0,20,0,0,441.1,1 ,1 G,,,,,,,,,,,,,,,
Im,EC-DU55,56,Gazelle,140,6,2,8,7,0,0,0,0,275.4,T3 L L L,T3 L L L,B3 A A A,B3 A A A,1 Meson Screen,1 Nuclear Damper,,,,,,,,,,,
ImAl,EG-DU44,90,Route Protector,176,4,2,8,7,0,10,0,0,171.8,B1 A,T3 M M M,T3 S S S,T3 L L L,1 ,,,,,,,,,,,,
Rr,F-GL23,12,Skipjack,231,3,2,10,9,1,247,8,0,246.7,,,,,,,,,,,,,,,,,
ImAk,F-K5S11,9,Hercules,550,2bis,2,5,23,0,4069,1,0,658.8,T3 L L L,T3 L L L,T3 L L L,T3 L L L,,,,,,,,,,,,,
ImOL,F-KS13,12,Susa,316,3,1,12,12,1,417,12,10,228.9,T3 L L L,T3 L L L,T3 L L L,,,,,,,,,,,,,,
Ca,F-TS13,13,Dakaar,599,3,1,19,22,0,928,1,0,340.1,T3 M M M,T3 K K K,T3 K K K,T3 S S S,,,,,,,,,,,,,
ImAl,F-ZC14,14,Risek,943,4,2,21,36,2,900,16,16,539.8,T1 M,T1 M,T1 M,T1 M,T1 M,T1 M,T1 M,T1 M,T1 S,T1 S,T1 S,T1 S,T1 S,T1 S,T1 S,T1 S,
NaHu,F2-BU41,60,YT Packet,21,4,2,7,1,0,50,4,0,211.3,B1 M,B1 L,1 ,1 Black Globe,,,,,,,,,,,,,
Rr,FK-AS11,9,Paya,11,1,0.5,3,0,0,21,5,24,36.5,T1 K,,,,,,,,,,,,,,,,
As,G-DL71,42,Khosaa,54,5,2,10,4,0,0,1,0,276.2,B1 A,B1 V,B3 C C C,B3 D D D,1 ,1 ,1 Meson Screen,1 Nuclear Damper,,,,,,,,,
Sw,G-EB32,112,Surtr,115,2,2,7,5,0,17,1,0,157.6,B1 N,B3 M M M,B3 M M M,T3 L S M,T3 L S M,1 ,1 ,1 ,1 ,,,,,,,,
Zh,G-FU21,26,Shivva,240,4,1,7,9,0,3,0,0,276.7,B1 C,B1 M,T5 D,T5 L,T5 S,B1 A,,,,,,,,,,,
Ca,G-HB53,26,Avenger,276,3,2,7,12,0,58,1,0,301,T3 S S S,1 ,B3 M M M,B3 M M M,B3 M M M,B3 A A A,B3 A A A,T3 L L L,T3 L L L,,,,,,,,
Va,G-HS44,26,Se Koez,355,5,1,6,13,0,30,1,0,323.2,T5 C,T3 L L L,T3 L L L,B1 A,B3 M M M,B3 M M M,B3 M M M,1 ,B3 Nuclear Damper,,,,,,,,
Im,GBS-AL52,65,Hoshisame,22,3,0.5,7,1,0,1,0,0,83.6,1 ,B3 A A A,,,,,,,,,,,,,,,
Rr,GP-HA72,32,Customs Frigate,224,6,2,14,8,0,20,0,0,503.5,B3 Jump Damper,B3 L L L,B3 L L L,1 A,B3 M M M,B3 M M M,B3 U U U,B1 Black Globe,,,,,,,,,
Im,H-U730,28,Bigtop One,8,5,1,6,1,0,20,1,0,241.1,B1 Empty,B1 Empty,B1 Empty,T3 L L L,T3 L L L,T3 S S S,T3 S S S,,,,,,,,,,
Im,J-AL22,10,Seeker,14,1bis,2,4,0,0,3,0,0,56.7,T1 J,,,,,,,,,,,,,,,,
Im,J-AU22,11,Khazad,12,1,2,6,0,0,25,0,0,33.7,T1 J,,,,,,,,,,,,,,,,
Va,J-BC11,9,Zukseg,24,1,2,6,1,0,65,0,0,58.1,T1 J,T1 J,,,,,,,,,,,,,,,
As,J-BS22,12,Kteiroa,44,3,2,7,2,0,78,1,4,75.5,T1 J,,,,,,,,,,,,,,,,
Im,K-BA12,11,Leaping Snowcat,48,1bis,2,6,2,0,6,6,0,81.4,T3 Empty,,,,,,,,,,,,,,,,
Im,K-BL12,28,Leaping Snowcat,39,4,2,6,1,0,6,6,0,115.4,T3 L L L,,,,,,,,,,,,,,,,
Im,K-CP11,120,Rock,96,2,2,6,3,0,11,0,0,63.6,T3 L S M,,,,,,,,,,,,,,,,
Rr,K-GP11,8,Dashulinta,69,1,2,9,3,1,120,8,16,126.2,T3 S S S,T3 K K K,T3 M M M,1 ,1 Black Globe,,,,,,,,,,,,
Im,K2-FC03,9,ANNIC NOVA,0,3,2,8,5,0,0,0,0,213.7,T1 L,T1 L,,,,,,,,,,,,,,,
Im,L-DC12,11,Lab Ship,90,2,2,10,3,1,23,15,0,127.8,T1 Empty,T1 Empty,,,,,,,,,,,,,,,
Rr,L-DC22,16,Lab Ship-TL16,12,4,2,11,1,2,50,20,0,148.5,,,,,,,,,,,,,,,,,
As,L-DL14,28,Hkiyrerao,151,5,0.5,13,6,1,0,10,10,226.3,T1 J,,,,,,,,,,,,,,,,
LL,L-EU13,32,Tarshish,54,3,2,9,4,2,50,16,10,172.2,,,,,,,,,,,,,,,,,
Im,M-BS11,10,Tramp Liner,24,1,1.5,5,1,2,51,20,8,37,,,,,,,,,,,,,,,,,
Im,M-FB13,12,Enkidu,199,3,2,5,7,2,120,21,20,135.5,,,,,,,,,,,,,,,,,
Va,M-FU13,12,Dhaztuen,198,2bis,2,5,8,3,33,24,10,155.7,T1 L,T1 L,T1 M,T1 M,T1 S,T1 S,,,,,,,,,,,
Zh,M-HB14,28,Chtabl,334,,1,8,13,4,57,36,34,230,T1 K,T1 K,T1 K,,,,,,,,,,,,,,
ImTL,M2-HS14,6,Brilliance,320,3,1,8,13,3,4,28,0,253.9,,,,,,,,,,,,,,,,,
ImTL,M2-KU14,13,Tukera RT,404,4,1,4,15,4,130,36,14,254.3,T3 L S M,T1 Empty,T1 Empty,T1 Empty,T1 Empty,,,,,,,,,,,,
Rr,MF-KA10,34,Qeeqeg,210,4,2,13,7,6,200,51,30,233.5,,,,,,,,,,,,,,,,,
Im,MG-VS33,60,Sydkai,720,7,2,14,30,0,175,0,20,780.5,T3 M M M,B3 M M M,T3 L L L,1 ,1 Nuclear Damper,,,,,,,,,,,,
Rr,MK-AP01,20,Chiipsikaat,9,0,0.5,4,0,1,30,10,9,14,,,,,,,,,,,,,,,,,
ImJG,MK-FU13,12,Glimmerdrift,212,3,1,10,8,2,124,21,80,137,T1 Empty,T1 Empty,T1 Empty,,,,,,,,,,,,,,
Im,MK-FU13,13,Stellar,177,3,2,10,6,2,129,21,20,186.8,,,,,,,,,,,,,,,,,
Im,N-DU23,30,Donosev,124,5,2,12,4,0,20,0,0,189.6,T1 Empty,T1 Empty,T1 Empty,T1 Empty,,,,,,,,,,,,,
Im,NF-CP11,120,Rock,96,2,2,6,3,0,11,0,0,63.6,T3 L S M,,,,,,,,,,,,,,,,
Rr,NP-DS23,32,Kurgulash,109,3,1,13,4,1,20,15,20,174,T3 S S S,T3 S S S,T3 S S S,T3 L L L,,,,,,,,,,,,,
Virushi,NR-JL42,14,Urlaqqash,133,4,4,7,7,2,2,20,0,546.7,T3 L S M,T3 L S M,T3 L S M,T3 L S M,,,,,,,,,,,,,
Va,P-DA42,11,Orizae,96,1,1,7,4,0,74,0,12,145.2,T3 M M M,T3 M M M,T3 L L L,T3 L L L,,,,,,,,,,,,,
Va,P-DA42,26,Rrazaghz,158,5,2,10,5,0,40,1,0,153.1,T3 C C C,B1 P,B1 A,B3 M M M,1 ,1 Nuclear Damper,,,,,,,,,,,
Va,P-DA62,22,Az Alrrak,110,2,2,5,6,0,15,1,12,386.2,T3 L L L,T3 M M M,T3 M M M,T3 S S S,,,,,,,,,,,,,
Im,PG-DA33,56,Daring,118,4,2,5,4,0,0,0,0,259,T3 M M M,T3 M M M,T3 L L L,T3 L L L,1 Nuclear Damper,,,,,,,,,,,,
Sw,PN-AS42,11,Derjus,14,2,1,6,1,0,0,1,0,54.5,B1 M,1 ,,,,,,,,,,,,,,,
Va,PN-CU42,18,Fang,72,2,2,9,3,0,45,0,0,127.4,T3 M M M,T3 M M M,T3 L L L,1 Nuclear Damper,,,,,,,,,,,,,
Va,PQ-DA41,34,Aedokhaz,94,2,1,9,4,0,74,0,12,187.4,T3 M M M,T3 M M M,T3 Jump Damper,T3 L L L,T3 L L L,T3 L L L,,,,,,,,,,,
NaVl,PQ-DA42,32,Kforgzue,79,2,1,9,2,0,128,0,12,157.4,T3 L L L,T3 L L L,T3 M M M,T3 M M M,,,,,,,,,,,,,
NaHu,QB-10L33,36,Redship,2,3,0.5,7,0,0,2,0,0,101.7,T3 L S M,,,,,,,,,,,,,,,,
Im,R-EU12,28,Maru,110,3,2,8,4,0,190,7,14,125.4,T3 S S S,T3 S S S,T3 K K K,T3 K K K,T3 K K K,,,,,,,,,,,,
As,R-FB22,12,Khtukhao,126,3,2,7,5,3,140,24,30,163.8,T1 Empty,T1 Empty,T1 Empty,T1 Empty,T1 Empty,T1 Empty,,,,,,,,,,,
As,R-GB22,30,Khtukhao-hlai,138,3,2,10,5,3,135,24,30,162.7,T1 Empty,T1 Empty,T1 Empty,T1 Empty,T1 Empty,T1 Empty,,,,,,,,,,,
Kursae,R-KA20,36,Ningrid Maz,64,3,4,14,3,3,300,25,25,234.5,T3 U U U,T3 D D D,T3 S S S,T3 M M M,,,,,,,,,,,,,
RoR,RC-TU43,32,Leviathan,507,8,2,20,17,1,300,8,16,752.4,T3 M M M,T3 M M M,T3 K K K,T3 K K K,T3 L L L,T3 L L L,T3 S S S,T3 S S S,T3 M M M,T3 M M M,L1 Black Globe,,,,,,
Rr,RF-ES42,32,Sunfish,120,3,2,10,5,2,70,16,14,201.9,T3 S S S,T3 M M M,T3 M M M,T3 L L L,1 ,,,,,,,,,,,,
Im,RF-JS33,28,Wildebeest,294,3,2,14,11,2,200,16,20,259,T1 L,T1 L,T1 L,T1 S,T1 S,T1 S,T1 M,T1 M,T1 M,,,,,,,,
Im,RK-DA11,11,Akkigish,44,1,1,9,2,1,200,8,9,90.8,,,,,,,,,,,,,,,,,
ImJG,RK-DA11,12,Guilder,44,1,2,5,2,1,200,8,9,88.1,T3 Empty,T3 Empty,,,,,,,,,,,,,,,
Rr,RK-DA11,34,TL17-Merchant,4,1,2,8,2,2,150,20,10,110.1,,,,,,,,,,,,,,,,,
ImJG,RK-DA12,12,Far Guilder,86,2,2,8,3,1,140,8,9,101.3,T3 Empty,T3 Empty,,,,,,,,,,,,,,,
As,RM-AS60,16,Takheau,15,1bis,0.5,5,1,0,1,0,0,70.9,L1 A,,,,,,,,,,,,,,,,
RrAS,RQ-AL42,11,Scout-Raider,28,2,2,6,1,0,3,0,0,67.2,B1 N,1 ,,,,,,,,,,,,,,,
ImDR,S-AA22,12,Serpent,28,3,2,10,1,0,5,1,0,60.5,T3 L S M,,,,,,,,,,,,,,,,
RoR,S-AL20,34,Qratliv',12,9,2,6,0,0,20,0,0,145.1,T3 L S M,1 Black Globe,,,,,,,,,,,,,,,
Im,S-AL22,5,Murphy,22,1bis,2,7,1,0,3,1,0,52.2,,,,,,,,,,,,,,,,,
ImJG,S-AL22,24,Sering,23,1,2,8,1,0,3,0,0,42.1,T3 Empty,,,,,,,,,,,,,,,,
Im,S-AS22,30,Gashiiri,12,1,0.5,4,0,0,7,1,0,36.1,T1 J,,,,,,,,,,,,,,,,
As,S-AS22,11,Hraye,22,1bis,2,6,1,0,4,0,0,38.4,T3 M M M,,,,,,,,,,,,,,,,
Dr,S-AS22,30,Syunutstryak,19,1bis,2,7,1,0,6,0,0,44.8,T3 L L L,,,,,,,,,,,,,,,,
Rr,S-AS24,16,Alar,39,2,1,6,1,0,1,0,4,52.7,T3 L S M,,,,,,,,,,,,,,,,
Rr,S-AS33,14,Far Horizon,32,3,1,6,1,0,3,0,0,62.8,T3 L S M,1 ,1 Nuclear Damper,,,,,,,,,,,,,,
Va,S-AS42,12,Kanllaz,28,4,2,4,1,0,0,1,0,66.9,,,,,,,,,,,,,,,,,
Kursae,S-BA20,36,Pona Thirg,12,3,4,5,1,0,8,0,0,75.3,T3 U U U,,,,,,,,,,,,,,,,
ImDR,S-BA22,24,Wind,44,2,2,5,2,0,3,1,0,69.7,T3 L S M,,,,,,,,,,,,,,,,
As,S-BL43,13,Ktiyhui,58,4,2,6,2,0,16,1,0,114.2,T3 M M M,T3 L S M,,,,,,,,,,,,,,,
Kogl,S-MA12,6,Kogl Scout,250,2,20,11,10,0,20,0,0,296.6,T1 M,T1 M,T1 K,T1 K,T1 S,T1 S,,,,,,,,,,,
Im,S2-AL23,11,Grendel's Mother,36,1bis,2,5,1,0,4,1,0,80.9,T3 L S M,,,,,,,,,,,,,,,,
Va,S2-BA33,13,Tathoe,63,5,2,5,2,0,8,1,0,125.8,,,,,,,,,,,,,,,,,
Rr,SR-DB23,12,Telemon,144,5,2,6,5,0,47,0,2,165.2,T1 Empty,T1 Empty,,,,,,,,,,,,,,,
Im,T-CL10,28,BigTop Three,216,1,2,7,6,0,12,1,0,168.2,B1 A,T3 L L L,T3 S S S,,,,,,,,,,,,,,
Im,T-CL10,28,BigTop Two,1,3,2,7,0,0,10,1,0,165,B1 A,T3 L L L,T3 S S S,,,,,,,,,,,,,,
Dr,T-JU33,64,Bretremoy,246,3,2,20,8,3,20,30,100,370.5,B3 A A A,T3 D D D,T3 Jump Damper,T3 U U U,T3 L L L,T3 L L L,T3 M M M,T3 M M M,T3 S S S,1 ,1 Meson Screen,1 Nuclear Damper,1 Mag Scrambler,1 Black Globe,,,
As,T-KL33,84,Aositaoh,297,5,2,13,12,0,88,1,0,470.7,T3 S S S,T3 S S S,T3 S S S,B1 A,B1 V,T3 L L L,T3 L L L,T3 L L L,B1 Nuclear Damper,B1 Meson Screen,,,,,,,
Dr,T-KU33,30,Bretremoy,297,3,2,13,10,3,278,24,0,334.2,T1 L,T1 L,T1 L,T1 L,T1 L,T1 L,T1 L,T1 L,T1 L,T1 L,,,,,,,
ImDS,T-MA50,34,Orca,159,6,2,19,6,2,500,18,0,526.5,T3 U U U,T3 U U U,B1 F,L1 Black Globe,L1 Black Globe,,,,,,,,,,,,
Im,T-MC26,28,Ringmaster0913,712,4,2,10,28,0,17,1,0,521.4,T3 S S S,T3 S S S,T3 L L L,T3 L L L,T3 L L L,T3 L L L,T5 D,T5 C,B1 A,B1 A,B1 A,B1 A,,,,,
ImTL,T-Q2U14,13,Tukera AT,1307,4,1,23,51,4,800,36,0,697.8,T1 L,T1 L,T1 L,T1 M,T1 M,T1 M,T1 S,T1 S,T1 S,,,,,,,,
ImAl,T-Q2U14,28,World,1194,4,2,27,40,3,1200,30,0,846.5,,,,,,,,,,,,,,,,,
Im,T-U310,28,BigTop Two,1,3,1,7,0,0,0,1,0,86.3,,,,,,,,,,,,,,,,,
Im,T-VS66,15,Imperiallines TJ,1300,6,1,12,48,0,194,0,10,1099,T3 L L L,T3 L L L,T3 L L L,T3 L L L,T3 L L L,T3 L L L,T3 L L L,T3 L L L,T3 L L L,T3 L L L,,,,,,,
Im,T-ZC13,28,Ringleader,708,6,1.5,11,26,0,0,1,0,588.4,B3 Empty,B3 Empty,B3 Empty,B3 Empty,B3 Empty,B3 Empty,T3 D D D,T3 D D D,T3 D D D,T3 D D D,T3 D D D,T3 D D D,T3 S S S,T3 S S S,T3 S S S,T3 S S S,
Im,TB-ZC00,28,Xboat Station,0,0,0.5,5,3,0,0,1,0,264.9,,,,,,,,,,,,,,,,,
Rr,TC-VB14,14,Survey Tender,852,6,2,11,32,0,20,0,0,511.4,T3 M M M,T3 M M M,T3 M M M,T3 M M M,T3 D D D,T3 D D D,T3 D D D,T3 D D D,T3 L L L,T3 L L L,T3 L L L,T3 L L L,T3 S S S,T3 S S S,T3 S S S,T3 S S S,
Im,TY-ZU90,150,Traitor,216,7,2,12,21,0,20,0,0,1002.6,B1 S,B1 S,B1 S,B1 S,B1 S,B1 S,B1 S,B1 S,B1 L,B1 L,B1 L,B1 L,B1 L,B1 L,B1 L,B1 L,
Rr,U-BS42,11,Maada R,48,1,1,8,2,1,25,8,6,95.1,T3 M M M,T3 L L L,1 Black Globe,,,,,,,,,,,,,,
Rr,U-BS44,16,Maada C,79,2,1,8,3,0,20,4,8,74.6,T1 M,T1 L,T1 S,1 Black Globe,,,,,,,,,,,,,
Im,U-CA33,12,Armed Packet,94,3,2,6,4,1,4,10,4,115.3,1 ,T1 M,T1 Empty,T1 Empty,,,,,,,,,,,,,
Im,U-EA42,24,Iishillek,120,4,2,8,5,1,80,12,8,201.2,,,,,,,,,,,,,,,,,
Ku,UF-AL20,38,Metanath Pajan,4,2,0.5,5,0,0,0,0,0,72.2,T3 X X X,T3 U U U,T3 D D D,,,,,,,,,,,,,,
Kursae,UF-AL20,38,Metanath Pajan,4,2,0.5,5,0,0,0,0,0,72.2,T3 X X X,T3 U U U,T3 D D D,,,,,,,,,,,,,,
Rr,UF-QA17,32,Sundog,1093,7,1,10,40,1,1,12,0,584,,,,,,,,,,,,,,,,,
Rr,UG-EA41,32,Sundog,68,4,2,11,4,2,50,16,20,229.4,T3 M M M,T3 D D D,T3 S S S,T3 L L L,T3 L L L,,,,,,,,,,,,
RoR,UL-CA31,34,Efate,15,3,2,5,1,1,50,12,12,141.5,T3 L L L,T3 M M M,T3 M M M,1 ,,,,,,,,,,,,,
ImCl,UL-GL64,30,Leggy Leaper,322,5,2,10,14,0,10,6,2,413.5,T3 S S S,T3 D D D,1 ,T3 M M M,T3 M M M,T3 L L L,T3 L L L,T3 L L L,,,,,,,,,
Im,UM-DS43,56,Lone Gunman,134,3,2,10,6,0,20,3,12,193.6,T3 S S S,B3 A A A,B1 D,B3 M M M,1 ,1 ,,,,,,,,,,,
As,V-BS44,12,Hkauiya,88,4,2,7,4,0,17,1,0,105.2,T3 Empty,T3 Empty,,,,,,,,,,,,,,,
NaHu,V-FA13,24,Tuglikki Packet,198,3,2,5,8,2,75,19,0,201.7,T3 M M M,T3 M M M,T3 M M M,T3 L L L,T3 L L L,T3 L L L,1 ,,,,,,,,,,
Im,VE-KU54,30,Fer-de-lance,468,6,2,14,18,0,10,0,0,451.6,T3 M M M,T3 M M M,T3 M M M,T3 M M M,T3 L L L,T3 L L L,T3 L L L,T3 L L L,B1 A,B1 A,,,,,,,
Im,VE-KU64,60,Chrysanthemum,460,6,2,15,16,0,10,0,0,651.2,T3 M M M,T3 M M M,B1 A,B1 A,B3 F F F,T3 S S S,T3 S S S,T3 S S S,T3 S S S,T3 S S S,,,,,,,
Im,W-AS21,9,Shumshuga,50,1,0.5,4,1,0,20,1,0,32.1,,,,,,,,,,,,,,,,,
Im,W-AU11,10,Shumshuga,12,1,0.5,6,0,0,70,0,0,37.1,,,,,,,,,,,,,,,,,
Im,X-AB04,13,Dryad,48,4,0.5,4,2,0,0,1,0,56.7,,,,,,,,,,,,,,,,,
Im,X-AU04,15,Express Boat,54,4,2,4,2,0,1,1,0,54.3,,,,,,,,,,,,,,,,,
Zh,X-BS24,28,Qliaf,75,,1,6,3,0,16,5,0,95.5,T3 L S M,,,,,,,,,,,,,,,,
